10.7111, 1901, Jan Average, Algeria, DZA
6.96322, 1909, May Average, Algeria, DZA
3.4177, 1909, Jun Average, Algeria, DZA
1.92249, 1909, Jul Average, Algeria, DZA
2.44085, 1909, Aug Average, Algeria, DZA
3.01039, 1909, Sep Average, Algeria, DZA
9.2519, 1909, Oct Average, Algeria, DZA
9.71069, 1909, Nov Average, Algeria, DZA
4.60887, 1909, Dec Average, Algeria, DZA
6.12558, 1910, Jan Average, Algeria, DZA
7.21427, 1910, Feb Average, Algeria, DZA
6.64956, 1910, Mar Average, Algeria, DZA
6.79724, 1910, Apr Average, Algeria, DZA
15.4558, 1910, May Average, Algeria, DZA
2.42111, 1910, Jun Average, Algeria, DZA
1.45697, 1910, Jul Average, Algeria, DZA
2.05093, 1910, Aug Average, Algeria, DZA
2.80849, 1910, Sep Average, Algeria, DZA
2.84872, 1910, Oct Average, Algeria, DZA
3.35362, 1910, Nov Average, Algeria, DZA
13.1736, 1910, Dec Average, Algeria, DZA
18.5202, 1911, Jan Average, Algeria, DZA
7.28457, 1911, Feb Average, Algeria, DZA
15.3875, 1911, Mar Average, Algeria, DZA
6.54621, 1911, Apr Average, Algeria, DZA
9.41771, 1911, May Average, Algeria, DZA
3.02228, 1911, Jun Average, Algeria, DZA
2.04585, 1911, Jul Average, Algeria, DZA
2.10668, 1911, Aug Average, Algeria, DZA
3.56317, 1911, Sep Average, Algeria, DZA
9.4894, 1911, Oct Average, Algeria, DZA
9.74408, 1911, Nov Average, Algeria, DZA
8.58225, 1911, Dec Average, Algeria, DZA
15.7403, 1912, Jan Average, Algeria, DZA
4.58463, 1912, Feb Average, Algeria, DZA
6.75411, 1912, Mar Average, Algeria, DZA
10.1814, 1912, Apr Average, Algeria, DZA
1.1637, 1912, May Average, Algeria, DZA
2.23466, 1912, Jun Average, Algeria, DZA
1.18315, 1912, Jul Average, Algeria, DZA
3.59294, 1912, Aug Average, Algeria, DZA
11.7424, 1912, Sep Average, Algeria, DZA
14.8266, 1912, Oct Average, Algeria, DZA
4.27614, 1912, Nov Average, Algeria, DZA
15.3646, 1912, Dec Average, Algeria, DZA
18.0745, 1913, Jan Average, Algeria, DZA
11.5162, 1913, Feb Average, Algeria, DZA
3.93485, 1913, Mar Average, Algeria, DZA
4.06727, 1913, Apr Average, Algeria, DZA
4.15312, 1913, May Average, Algeria, DZA
1.57934, 1913, Jun Average, Algeria, DZA
1.18415, 1913, Jul Average, Algeria, DZA
2.0291, 1913, Aug Average, Algeria, DZA
1.16816, 1913, Sep Average, Algeria, DZA
6.32318, 1913, Oct Average, Algeria, DZA
4.20751, 1913, Nov Average, Algeria, DZA
6.64806, 1913, Dec Average, Algeria, DZA
16.0518, 1914, Jan Average, Algeria, DZA
12.0296, 1914, Feb Average, Algeria, DZA
7.02236, 1914, Mar Average, Algeria, DZA
8.2952, 1914, Apr Average, Algeria, DZA
5.98626, 1914, May Average, Algeria, DZA
2.56214, 1914, Jun Average, Algeria, DZA
1.43338, 1914, Jul Average, Algeria, DZA
4.11691, 1914, Aug Average, Algeria, DZA
4.86035, 1914, Sep Average, Algeria, DZA
5.11285, 1914, Oct Average, Algeria, DZA
11.2056, 1914, Nov Average, Algeria, DZA
6.65423, 1914, Dec Average, Algeria, DZA
12.7031, 1915, Jan Average, Algeria, DZA
7.71452, 1915, Feb Average, Algeria, DZA
7.21466, 1915, Mar Average, Algeria, DZA
8.04816, 1915, Apr Average, Algeria, DZA
6.36216, 1915, May Average, Algeria, DZA
5.58895, 1915, Jun Average, Algeria, DZA
2.12295, 1915, Jul Average, Algeria, DZA
2.89157, 1915, Aug Average, Algeria, DZA
6.8119, 1915, Sep Average, Algeria, DZA
12.2848, 1915, Oct Average, Algeria, DZA
7.16489, 1915, Nov Average, Algeria, DZA
7.55182, 1915, Dec Average, Algeria, DZA
12.4086, 1916, Jan Average, Algeria, DZA
8.4969, 1916, Feb Average, Algeria, DZA
10.2328, 1916, Mar Average, Algeria, DZA
5.88966, 1916, Apr Average, Algeria, DZA
6.94378, 1916, May Average, Algeria, DZA
2.67516, 1916, Jun Average, Algeria, DZA
1.49331, 1916, Jul Average, Algeria, DZA
2.9139, 1916, Aug Average, Algeria, DZA
5.50379, 1916, Sep Average, Algeria, DZA
3.42424, 1916, Oct Average, Algeria, DZA
14.3146, 1916, Nov Average, Algeria, DZA
11.7247, 1916, Dec Average, Algeria, DZA
16.5735, 1917, Jan Average, Algeria, DZA
9.1992, 1917, Feb Average, Algeria, DZA
9.13425, 1917, Mar Average, Algeria, DZA
2.92161, 1917, Apr Average, Algeria, DZA
5.15155, 1917, May Average, Algeria, DZA
9.48101, 1917, Jun Average, Algeria, DZA
1.20456, 1917, Jul Average, Algeria, DZA
1.87669, 1917, Aug Average, Algeria, DZA
1.26109, 1917, Sep Average, Algeria, DZA
3.71319, 1917, Oct Average, Algeria, DZA
12.183, 1917, Nov Average, Algeria, DZA
13.0354, 1917, Dec Average, Algeria, DZA
5.97155, 1918, Jan Average, Algeria, DZA
5.18759, 1918, Feb Average, Algeria, DZA
12.4207, 1918, Mar Average, Algeria, DZA
6.69916, 1918, Apr Average, Algeria, DZA
6.78748, 1918, May Average, Algeria, DZA
5.87672, 1918, Jun Average, Algeria, DZA
2.84155, 1918, Jul Average, Algeria, DZA
2.25869, 1918, Aug Average, Algeria, DZA
4.57063, 1918, Sep Average, Algeria, DZA
12.7005, 1918, Oct Average, Algeria, DZA
22.7106, 1918, Nov Average, Algeria, DZA
8.02308, 1918, Dec Average, Algeria, DZA
12.6802, 1919, Jan Average, Algeria, DZA
6.70478, 1919, Feb Average, Algeria, DZA
6.54312, 1919, Mar Average, Algeria, DZA
3.50938, 1919, Apr Average, Algeria, DZA
4.78087, 1919, May Average, Algeria, DZA
4.41387, 1919, Jun Average, Algeria, DZA
2.015, 1919, Jul Average, Algeria, DZA
2.24609, 1919, Aug Average, Algeria, DZA
8.28564, 1919, Sep Average, Algeria, DZA
7.16824, 1919, Oct Average, Algeria, DZA
5.0242, 1919, Nov Average, Algeria, DZA
11.1485, 1919, Dec Average, Algeria, DZA
3.72295, 1920, Jan Average, Algeria, DZA
10.4412, 1920, Feb Average, Algeria, DZA
6.76586, 1920, Mar Average, Algeria, DZA
2.19323, 1920, Apr Average, Algeria, DZA
3.93388, 1920, May Average, Algeria, DZA
3.97916, 1920, Jun Average, Algeria, DZA
1.5933, 1920, Jul Average, Algeria, DZA
3.13252, 1920, Aug Average, Algeria, DZA
2.22617, 1920, Sep Average, Algeria, DZA
5.27933, 1920, Oct Average, Algeria, DZA
13.2465, 1920, Nov Average, Algeria, DZA
7.11499, 1920, Dec Average, Algeria, DZA
3.5144, 1921, Jan Average, Algeria, DZA
6.22502, 1921, Feb Average, Algeria, DZA
14.0842, 1921, Mar Average, Algeria, DZA
10.7315, 1921, Apr Average, Algeria, DZA
10.5265, 1921, May Average, Algeria, DZA
2.73338, 1921, Jun Average, Algeria, DZA
2.05572, 1921, Jul Average, Algeria, DZA
3.08484, 1921, Aug Average, Algeria, DZA
3.95739, 1921, Sep Average, Algeria, DZA
5.93371, 1921, Oct Average, Algeria, DZA
12.4449, 1921, Nov Average, Algeria, DZA
9.10288, 1921, Dec Average, Algeria, DZA
13.9203, 1922, Jan Average, Algeria, DZA
7.73862, 1922, Feb Average, Algeria, DZA
3.89868, 1922, Mar Average, Algeria, DZA
2.6378, 1922, Apr Average, Algeria, DZA
2.99826, 1922, May Average, Algeria, DZA
2.56971, 1922, Jun Average, Algeria, DZA
1.63405, 1922, Jul Average, Algeria, DZA
2.71844, 1922, Aug Average, Algeria, DZA
2.53541, 1922, Sep Average, Algeria, DZA
4.57346, 1922, Oct Average, Algeria, DZA
10.9461, 1922, Nov Average, Algeria, DZA
16.0868, 1922, Dec Average, Algeria, DZA
13.8954, 1923, Jan Average, Algeria, DZA
8.04655, 1923, Feb Average, Algeria, DZA
10.2004, 1923, Mar Average, Algeria, DZA
14.4244, 1923, Apr Average, Algeria, DZA
6.34218, 1923, May Average, Algeria, DZA
4.9436, 1923, Jun Average, Algeria, DZA
1.80264, 1923, Jul Average, Algeria, DZA
1.84469, 1923, Aug Average, Algeria, DZA
5.19329, 1923, Sep Average, Algeria, DZA
10.1462, 1923, Oct Average, Algeria, DZA
13.9392, 1923, Nov Average, Algeria, DZA
5.072, 1923, Dec Average, Algeria, DZA
8.82594, 1924, Jan Average, Algeria, DZA
7.70478, 1924, Feb Average, Algeria, DZA
6.07716, 1924, Mar Average, Algeria, DZA
2.95116, 1924, Apr Average, Algeria, DZA
2.71522, 1924, May Average, Algeria, DZA
2.31195, 1924, Jun Average, Algeria, DZA
2.40698, 1924, Jul Average, Algeria, DZA
1.81695, 1924, Aug Average, Algeria, DZA
3.14377, 1924, Sep Average, Algeria, DZA
7.01515, 1924, Oct Average, Algeria, DZA
11.1842, 1924, Nov Average, Algeria, DZA
11.9896, 1924, Dec Average, Algeria, DZA
1.15938, 1925, Jan Average, Algeria, DZA
9.09219, 1925, Feb Average, Algeria, DZA
16.0654, 1925, Mar Average, Algeria, DZA
4.80119, 1925, Apr Average, Algeria, DZA
9.32637, 1925, May Average, Algeria, DZA
2.54328, 1925, Jun Average, Algeria, DZA
3.30768, 1925, Jul Average, Algeria, DZA
2.21077, 1925, Aug Average, Algeria, DZA
10.3773, 1925, Sep Average, Algeria, DZA
9.90542, 1925, Oct Average, Algeria, DZA
11.4946, 1925, Nov Average, Algeria, DZA
3.80756, 1925, Dec Average, Algeria, DZA
2.24007, 1926, Jan Average, Algeria, DZA
2.72951, 1926, Feb Average, Algeria, DZA
3.95076, 1926, Mar Average, Algeria, DZA
4.87785, 1926, Apr Average, Algeria, DZA
4.6836, 1926, May Average, Algeria, DZA
1.58011, 1926, Jun Average, Algeria, DZA
1.71758, 1926, Jul Average, Algeria, DZA
3.25467, 1926, Aug Average, Algeria, DZA
2.28301, 1926, Sep Average, Algeria, DZA
2.99088, 1926, Oct Average, Algeria, DZA
10.4505, 1926, Nov Average, Algeria, DZA
9.07261, 1926, Dec Average, Algeria, DZA
7.84924, 1927, Jan Average, Algeria, DZA
6.08531, 1927, Feb Average, Algeria, DZA
5.49046, 1927, Mar Average, Algeria, DZA
4.6336, 1927, Apr Average, Algeria, DZA
6.82996, 1927, May Average, Algeria, DZA
0.79699, 1927, Jun Average, Algeria, DZA
0.30202, 1927, Jul Average, Algeria, DZA
3.20757, 1927, Aug Average, Algeria, DZA
2.9265, 1927, Sep Average, Algeria, DZA
8.78185, 1927, Oct Average, Algeria, DZA
20.3177, 1927, Nov Average, Algeria, DZA
20.2638, 1927, Dec Average, Algeria, DZA
20.7059, 1928, Jan Average, Algeria, DZA
5.04663, 1928, Feb Average, Algeria, DZA
9.33707, 1928, Mar Average, Algeria, DZA
3.65343, 1928, Apr Average, Algeria, DZA
7.75589, 1928, May Average, Algeria, DZA
0.59097, 1928, Jun Average, Algeria, DZA
2.01373, 1928, Jul Average, Algeria, DZA
8.65138, 1928, Aug Average, Algeria, DZA
9.43583, 1928, Sep Average, Algeria, DZA
15.8421, 1928, Oct Average, Algeria, DZA
4.28785, 1928, Nov Average, Algeria, DZA
10.7484, 1928, Dec Average, Algeria, DZA
5.84982, 1929, Jan Average, Algeria, DZA
11.4665, 1929, Feb Average, Algeria, DZA
10.8779, 1929, Mar Average, Algeria, DZA
1.53803, 1929, Apr Average, Algeria, DZA
14.7804, 1929, May Average, Algeria, DZA
6.12207, 1929, Jun Average, Algeria, DZA
1.33071, 1929, Jul Average, Algeria, DZA
7.5538, 1929, Aug Average, Algeria, DZA
8.79527, 1929, Sep Average, Algeria, DZA
6.01245, 1929, Oct Average, Algeria, DZA
10.1153, 1929, Nov Average, Algeria, DZA
4.26483, 1929, Dec Average, Algeria, DZA
10.4209, 1930, Jan Average, Algeria, DZA
8.57213, 1930, Feb Average, Algeria, DZA
4.15565, 1930, Mar Average, Algeria, DZA
7.25416, 1930, Apr Average, Algeria, DZA
3.21588, 1930, May Average, Algeria, DZA
4.16204, 1930, Jun Average, Algeria, DZA
3.48014, 1930, Jul Average, Algeria, DZA
4.52714, 1930, Aug Average, Algeria, DZA
3.74255, 1930, Sep Average, Algeria, DZA
2.92623, 1930, Oct Average, Algeria, DZA
3.44076, 1930, Nov Average, Algeria, DZA
22.2567, 1930, Dec Average, Algeria, DZA
14.2568, 1931, Jan Average, Algeria, DZA
11.4293, 1931, Feb Average, Algeria, DZA
5.07885, 1931, Mar Average, Algeria, DZA
5.44773, 1931, Apr Average, Algeria, DZA
2.83461, 1931, May Average, Algeria, DZA
0.54, 1931, Jun Average, Algeria, DZA
1.64329, 1931, Jul Average, Algeria, DZA
0.96166, 1931, Aug Average, Algeria, DZA
6.37336, 1931, Sep Average, Algeria, DZA
3.30857, 1931, Oct Average, Algeria, DZA
8.75723, 1931, Nov Average, Algeria, DZA
13.6353, 1931, Dec Average, Algeria, DZA
3.99957, 1932, Jan Average, Algeria, DZA
12.5229, 1932, Feb Average, Algeria, DZA
10.1301, 1932, Mar Average, Algeria, DZA
4.09007, 1932, Apr Average, Algeria, DZA
2.40775, 1932, May Average, Algeria, DZA
0.87468, 1932, Jun Average, Algeria, DZA
3.79114, 1932, Jul Average, Algeria, DZA
8.23333, 1932, Aug Average, Algeria, DZA
5.8042, 1932, Sep Average, Algeria, DZA
5.50033, 1932, Oct Average, Algeria, DZA
10.4523, 1932, Nov Average, Algeria, DZA
14.9049, 1932, Dec Average, Algeria, DZA
8.27926, 1933, Jan Average, Algeria, DZA
7.88148, 1933, Feb Average, Algeria, DZA
17.1427, 1933, Mar Average, Algeria, DZA
4.01556, 1933, Apr Average, Algeria, DZA
8.8977, 1933, May Average, Algeria, DZA
6.05615, 1933, Jun Average, Algeria, DZA
1.57167, 1933, Jul Average, Algeria, DZA
1.08932, 1933, Aug Average, Algeria, DZA
3.22931, 1933, Sep Average, Algeria, DZA
2.77356, 1933, Oct Average, Algeria, DZA
22.9479, 1933, Nov Average, Algeria, DZA
13.5487, 1933, Dec Average, Algeria, DZA
10.2491, 1934, Jan Average, Algeria, DZA
9.72045, 1934, Feb Average, Algeria, DZA
12.4439, 1934, Mar Average, Algeria, DZA
4.53606, 1934, Apr Average, Algeria, DZA
8.98236, 1934, May Average, Algeria, DZA
3.14801, 1934, Jun Average, Algeria, DZA
1.41198, 1934, Jul Average, Algeria, DZA
2.53117, 1934, Aug Average, Algeria, DZA
10.6409, 1934, Sep Average, Algeria, DZA
10.0759, 1934, Oct Average, Algeria, DZA
19.0552, 1934, Nov Average, Algeria, DZA
5.96354, 1934, Dec Average, Algeria, DZA
11.0811, 1935, Jan Average, Algeria, DZA
11.091, 1935, Feb Average, Algeria, DZA
7.24605, 1935, Mar Average, Algeria, DZA
6.26055, 1935, Apr Average, Algeria, DZA
6.77225, 1935, May Average, Algeria, DZA
0.33703, 1935, Jun Average, Algeria, DZA
1.55392, 1935, Jul Average, Algeria, DZA
4.06092, 1935, Aug Average, Algeria, DZA
2.10253, 1935, Sep Average, Algeria, DZA
19.3744, 1935, Oct Average, Algeria, DZA
6.94558, 1935, Nov Average, Algeria, DZA
9.58289, 1935, Dec Average, Algeria, DZA
2.92749, 1936, Jan Average, Algeria, DZA
10.0684, 1936, Feb Average, Algeria, DZA
6.40937, 1936, Mar Average, Algeria, DZA
3.70906, 1936, Apr Average, Algeria, DZA
10.6318, 1936, May Average, Algeria, DZA
3.10508, 1936, Jun Average, Algeria, DZA
1.28632, 1936, Jul Average, Algeria, DZA
4.67283, 1936, Aug Average, Algeria, DZA
2.27418, 1936, Sep Average, Algeria, DZA
15.7694, 1936, Oct Average, Algeria, DZA
10.526, 1936, Nov Average, Algeria, DZA
9.47913, 1936, Dec Average, Algeria, DZA
2.18956, 1937, Jan Average, Algeria, DZA
2.02733, 1937, Feb Average, Algeria, DZA
3.30631, 1937, Mar Average, Algeria, DZA
3.62882, 1937, Apr Average, Algeria, DZA
3.32906, 1937, May Average, Algeria, DZA
1.70826, 1937, Jun Average, Algeria, DZA
0.97496, 1937, Jul Average, Algeria, DZA
9.13898, 1937, Aug Average, Algeria, DZA
6.52024, 1937, Sep Average, Algeria, DZA
9.85013, 1937, Oct Average, Algeria, DZA
4.28773, 1937, Nov Average, Algeria, DZA
8.13705, 1937, Dec Average, Algeria, DZA
8.37777, 1938, Jan Average, Algeria, DZA
4.62735, 1938, Feb Average, Algeria, DZA
3.45985, 1938, Mar Average, Algeria, DZA
7.12643, 1938, Apr Average, Algeria, DZA
5.32897, 1938, May Average, Algeria, DZA
0.73731, 1938, Jun Average, Algeria, DZA
1.31832, 1938, Jul Average, Algeria, DZA
4.6713, 1938, Aug Average, Algeria, DZA
5.2817, 1938, Sep Average, Algeria, DZA
6.71631, 1938, Oct Average, Algeria, DZA
14.6835, 1938, Nov Average, Algeria, DZA
18.8745, 1938, Dec Average, Algeria, DZA
3.49864, 1939, Jan Average, Algeria, DZA
14.443, 1939, Feb Average, Algeria, DZA
6.97946, 1939, Mar Average, Algeria, DZA
14.3673, 1939, Apr Average, Algeria, DZA
9.39015, 1939, May Average, Algeria, DZA
3.36043, 1939, Jun Average, Algeria, DZA
0.63677, 1939, Jul Average, Algeria, DZA
10.8811, 1939, Aug Average, Algeria, DZA
4.42489, 1939, Sep Average, Algeria, DZA
4.39061, 1939, Oct Average, Algeria, DZA
6.38703, 1939, Nov Average, Algeria, DZA
6.7257, 1939, Dec Average, Algeria, DZA
15.2272, 1940, Jan Average, Algeria, DZA
5.50878, 1940, Feb Average, Algeria, DZA
6.65353, 1940, Mar Average, Algeria, DZA
1.53528, 1940, Apr Average, Algeria, DZA
2.53232, 1940, May Average, Algeria, DZA
6.21115, 1940, Jun Average, Algeria, DZA
0.26381, 1940, Jul Average, Algeria, DZA
4.77967, 1940, Aug Average, Algeria, DZA
6.50758, 1940, Sep Average, Algeria, DZA
10.9024, 1940, Oct Average, Algeria, DZA
6.43541, 1940, Nov Average, Algeria, DZA
7.98674, 1940, Dec Average, Algeria, DZA
6.11517, 1941, Jan Average, Algeria, DZA
4.43765, 1941, Feb Average, Algeria, DZA
11.748, 1941, Mar Average, Algeria, DZA
8.78042, 1941, Apr Average, Algeria, DZA
8.98352, 1941, May Average, Algeria, DZA
3.73435, 1941, Jun Average, Algeria, DZA
3.45541, 1941, Jul Average, Algeria, DZA
1.10266, 1941, Aug Average, Algeria, DZA
6.76956, 1941, Sep Average, Algeria, DZA
8.53448, 1941, Oct Average, Algeria, DZA
9.91351, 1941, Nov Average, Algeria, DZA
7.90882, 1941, Dec Average, Algeria, DZA
9.88229, 1942, Jan Average, Algeria, DZA
9.85889, 1942, Feb Average, Algeria, DZA
5.82655, 1942, Mar Average, Algeria, DZA
1.92835, 1942, Apr Average, Algeria, DZA
1.83306, 1942, May Average, Algeria, DZA
0.93438, 1942, Jun Average, Algeria, DZA
0.65831, 1942, Jul Average, Algeria, DZA
6.02541, 1942, Aug Average, Algeria, DZA
4.84181, 1942, Sep Average, Algeria, DZA
3.83008, 1942, Oct Average, Algeria, DZA
11.9383, 1942, Nov Average, Algeria, DZA
21.4861, 1942, Dec Average, Algeria, DZA
4.65399, 1943, Jan Average, Algeria, DZA
10.0033, 1943, Feb Average, Algeria, DZA
15.453, 1943, Mar Average, Algeria, DZA
13.3364, 1943, Apr Average, Algeria, DZA
6.0951, 1943, May Average, Algeria, DZA
2.20382, 1943, Jun Average, Algeria, DZA
3.26407, 1943, Jul Average, Algeria, DZA
3.81423, 1943, Aug Average, Algeria, DZA
6.96528, 1943, Sep Average, Algeria, DZA
10.9183, 1943, Oct Average, Algeria, DZA
9.49714, 1943, Nov Average, Algeria, DZA
20.1777, 1943, Dec Average, Algeria, DZA
1.0658, 1944, Jan Average, Algeria, DZA
9.38714, 1944, Feb Average, Algeria, DZA
4.98196, 1944, Mar Average, Algeria, DZA
5.63178, 1944, Apr Average, Algeria, DZA
1.63824, 1944, May Average, Algeria, DZA
2.55114, 1944, Jun Average, Algeria, DZA
1.49396, 1944, Jul Average, Algeria, DZA
1.75511, 1944, Aug Average, Algeria, DZA
8.39031, 1944, Sep Average, Algeria, DZA
6.69895, 1944, Oct Average, Algeria, DZA
7.55272, 1944, Nov Average, Algeria, DZA
8.75084, 1944, Dec Average, Algeria, DZA
10.594, 1945, Jan Average, Algeria, DZA
2.30915, 1945, Feb Average, Algeria, DZA
2.09426, 1945, Mar Average, Algeria, DZA
2.12745, 1945, Apr Average, Algeria, DZA
5.46812, 1945, May Average, Algeria, DZA
2.88229, 1945, Jun Average, Algeria, DZA
2.09164, 1945, Jul Average, Algeria, DZA
2.83817, 1945, Aug Average, Algeria, DZA
1.76238, 1945, Sep Average, Algeria, DZA
6.15694, 1945, Oct Average, Algeria, DZA
10.0817, 1945, Nov Average, Algeria, DZA
5.7251, 1945, Dec Average, Algeria, DZA
23.1425, 1946, Jan Average, Algeria, DZA
5.86279, 1946, Feb Average, Algeria, DZA
5.11787, 1946, Mar Average, Algeria, DZA
15.4196, 1946, Apr Average, Algeria, DZA
4.74878, 1946, May Average, Algeria, DZA
1.07845, 1946, Jun Average, Algeria, DZA
0.92393, 1946, Jul Average, Algeria, DZA
2.58127, 1946, Aug Average, Algeria, DZA
2.72719, 1946, Sep Average, Algeria, DZA
1.7044, 1946, Oct Average, Algeria, DZA
6.34263, 1946, Nov Average, Algeria, DZA
10.7727, 1946, Dec Average, Algeria, DZA
4.74867, 1947, Jan Average, Algeria, DZA
7.10971, 1947, Feb Average, Algeria, DZA
1.51288, 1947, Mar Average, Algeria, DZA
2.86542, 1947, Apr Average, Algeria, DZA
4.85065, 1947, May Average, Algeria, DZA
2.65398, 1947, Jun Average, Algeria, DZA
1.6729, 1947, Jul Average, Algeria, DZA
7.39486, 1947, Aug Average, Algeria, DZA
3.49507, 1947, Sep Average, Algeria, DZA
5.07734, 1947, Oct Average, Algeria, DZA
4.6234, 1947, Nov Average, Algeria, DZA
12.1741, 1947, Dec Average, Algeria, DZA
9.12628, 1948, Jan Average, Algeria, DZA
7.17246, 1948, Feb Average, Algeria, DZA
6.14381, 1948, Mar Average, Algeria, DZA
9.64819, 1948, Apr Average, Algeria, DZA
6.8203, 1948, May Average, Algeria, DZA
3.96897, 1948, Jun Average, Algeria, DZA
0.98894, 1948, Jul Average, Algeria, DZA
1.55642, 1948, Aug Average, Algeria, DZA
3.95947, 1948, Sep Average, Algeria, DZA
15.6729, 1948, Oct Average, Algeria, DZA
1.66201, 1948, Nov Average, Algeria, DZA
9.32959, 1948, Dec Average, Algeria, DZA
11.5424, 1949, Jan Average, Algeria, DZA
6.93367, 1949, Feb Average, Algeria, DZA
14.2295, 1949, Mar Average, Algeria, DZA
15.1764, 1949, Apr Average, Algeria, DZA
8.43967, 1949, May Average, Algeria, DZA
1.51316, 1949, Jun Average, Algeria, DZA
1.20524, 1949, Jul Average, Algeria, DZA
2.33399, 1949, Aug Average, Algeria, DZA
1.20186, 1949, Sep Average, Algeria, DZA
1.69023, 1949, Oct Average, Algeria, DZA
