204.289, 1901, Jan Average, Malawi, MWI
54.1337, 1920, May Average, Malawi, MWI
11.2787, 1920, Jun Average, Malawi, MWI
6.29115, 1920, Jul Average, Malawi, MWI
1.52582, 1920, Aug Average, Malawi, MWI
0.00353, 1920, Sep Average, Malawi, MWI
33.8743, 1920, Oct Average, Malawi, MWI
54.7617, 1920, Nov Average, Malawi, MWI
189.101, 1920, Dec Average, Malawi, MWI
197.909, 1921, Jan Average, Malawi, MWI
220.585, 1921, Feb Average, Malawi, MWI
224.4, 1921, Mar Average, Malawi, MWI
83.8372, 1921, Apr Average, Malawi, MWI
26.9409, 1921, May Average, Malawi, MWI
2.57076, 1921, Jun Average, Malawi, MWI
12.9091, 1921, Jul Average, Malawi, MWI
5.19157, 1921, Aug Average, Malawi, MWI
3.93388, 1921, Sep Average, Malawi, MWI
22.4257, 1921, Oct Average, Malawi, MWI
79.2359, 1921, Nov Average, Malawi, MWI
211.487, 1921, Dec Average, Malawi, MWI
115.02, 1922, Jan Average, Malawi, MWI
197.351, 1922, Feb Average, Malawi, MWI
185.414, 1922, Mar Average, Malawi, MWI
49.065, 1922, Apr Average, Malawi, MWI
27.1557, 1922, May Average, Malawi, MWI
6.25104, 1922, Jun Average, Malawi, MWI
3.8253, 1922, Jul Average, Malawi, MWI
1.50683, 1922, Aug Average, Malawi, MWI
4.12038, 1922, Sep Average, Malawi, MWI
35.1515, 1922, Oct Average, Malawi, MWI
64.6636, 1922, Nov Average, Malawi, MWI
227.432, 1922, Dec Average, Malawi, MWI
154.44, 1923, Jan Average, Malawi, MWI
282.7, 1923, Feb Average, Malawi, MWI
215.275, 1923, Mar Average, Malawi, MWI
147.467, 1923, Apr Average, Malawi, MWI
47.1605, 1923, May Average, Malawi, MWI
1.96229, 1923, Jun Average, Malawi, MWI
5.24815, 1923, Jul Average, Malawi, MWI
7.95707, 1923, Aug Average, Malawi, MWI
0.83228, 1923, Sep Average, Malawi, MWI
20.0139, 1923, Oct Average, Malawi, MWI
19.8291, 1923, Nov Average, Malawi, MWI
273.363, 1923, Dec Average, Malawi, MWI
191.563, 1924, Jan Average, Malawi, MWI
218.877, 1924, Feb Average, Malawi, MWI
174.4, 1924, Mar Average, Malawi, MWI
40.3886, 1924, Apr Average, Malawi, MWI
13.9463, 1924, May Average, Malawi, MWI
10.6143, 1924, Jun Average, Malawi, MWI
6.48422, 1924, Jul Average, Malawi, MWI
3.07877, 1924, Aug Average, Malawi, MWI
0.1225, 1924, Sep Average, Malawi, MWI
14.8229, 1924, Oct Average, Malawi, MWI
62.2062, 1924, Nov Average, Malawi, MWI
116.38, 1924, Dec Average, Malawi, MWI
298.241, 1925, Jan Average, Malawi, MWI
255.222, 1925, Feb Average, Malawi, MWI
232.703, 1925, Mar Average, Malawi, MWI
143.939, 1925, Apr Average, Malawi, MWI
39.1461, 1925, May Average, Malawi, MWI
7.12531, 1925, Jun Average, Malawi, MWI
13.059, 1925, Jul Average, Malawi, MWI
2.05208, 1925, Aug Average, Malawi, MWI
8.28236, 1925, Sep Average, Malawi, MWI
21.3541, 1925, Oct Average, Malawi, MWI
87.5268, 1925, Nov Average, Malawi, MWI
207.317, 1925, Dec Average, Malawi, MWI
304.319, 1926, Jan Average, Malawi, MWI
238.275, 1926, Feb Average, Malawi, MWI
251.66, 1926, Mar Average, Malawi, MWI
98.0197, 1926, Apr Average, Malawi, MWI
13.8383, 1926, May Average, Malawi, MWI
4.3194, 1926, Jun Average, Malawi, MWI
8.10642, 1926, Jul Average, Malawi, MWI
4.28594, 1926, Aug Average, Malawi, MWI
0.65646, 1926, Sep Average, Malawi, MWI
6.12066, 1926, Oct Average, Malawi, MWI
44.1504, 1926, Nov Average, Malawi, MWI
229.413, 1926, Dec Average, Malawi, MWI
244.481, 1927, Jan Average, Malawi, MWI
219.719, 1927, Feb Average, Malawi, MWI
226.617, 1927, Mar Average, Malawi, MWI
142.976, 1927, Apr Average, Malawi, MWI
13.7842, 1927, May Average, Malawi, MWI
9.42972, 1927, Jun Average, Malawi, MWI
7.11184, 1927, Jul Average, Malawi, MWI
1.05361, 1927, Aug Average, Malawi, MWI
0.30115, 1927, Sep Average, Malawi, MWI
5.98331, 1927, Oct Average, Malawi, MWI
26.5113, 1927, Nov Average, Malawi, MWI
213.907, 1927, Dec Average, Malawi, MWI
195.059, 1928, Jan Average, Malawi, MWI
138.347, 1928, Feb Average, Malawi, MWI
280.051, 1928, Mar Average, Malawi, MWI
103.821, 1928, Apr Average, Malawi, MWI
19.8532, 1928, May Average, Malawi, MWI
6.70333, 1928, Jun Average, Malawi, MWI
2.55827, 1928, Jul Average, Malawi, MWI
1.85853, 1928, Aug Average, Malawi, MWI
1.71661, 1928, Sep Average, Malawi, MWI
13.5551, 1928, Oct Average, Malawi, MWI
41.4199, 1928, Nov Average, Malawi, MWI
191.363, 1928, Dec Average, Malawi, MWI
281.254, 1929, Jan Average, Malawi, MWI
171.328, 1929, Feb Average, Malawi, MWI
250.216, 1929, Mar Average, Malawi, MWI
103.53, 1929, Apr Average, Malawi, MWI
10.9896, 1929, May Average, Malawi, MWI
1.37462, 1929, Jun Average, Malawi, MWI
4.69202, 1929, Jul Average, Malawi, MWI
6.07965, 1929, Aug Average, Malawi, MWI
0.00816, 1929, Sep Average, Malawi, MWI
22.1706, 1929, Oct Average, Malawi, MWI
44.3459, 1929, Nov Average, Malawi, MWI
195.996, 1929, Dec Average, Malawi, MWI
237.809, 1930, Jan Average, Malawi, MWI
155.994, 1930, Feb Average, Malawi, MWI
186.552, 1930, Mar Average, Malawi, MWI
97.1299, 1930, Apr Average, Malawi, MWI
11.2274, 1930, May Average, Malawi, MWI
3.88915, 1930, Jun Average, Malawi, MWI
3.20992, 1930, Jul Average, Malawi, MWI
1.03965, 1930, Aug Average, Malawi, MWI
10.4972, 1930, Sep Average, Malawi, MWI
1.94067, 1930, Oct Average, Malawi, MWI
63.1741, 1930, Nov Average, Malawi, MWI
149.54, 1930, Dec Average, Malawi, MWI
326.258, 1931, Jan Average, Malawi, MWI
200.854, 1931, Feb Average, Malawi, MWI
143.168, 1931, Mar Average, Malawi, MWI
93.8679, 1931, Apr Average, Malawi, MWI
20.62, 1931, May Average, Malawi, MWI
4.41493, 1931, Jun Average, Malawi, MWI
4.1138, 1931, Jul Average, Malawi, MWI
0.72149, 1931, Aug Average, Malawi, MWI
6.59949, 1931, Sep Average, Malawi, MWI
6.6253, 1931, Oct Average, Malawi, MWI
112.143, 1931, Nov Average, Malawi, MWI
302.904, 1931, Dec Average, Malawi, MWI
141.125, 1932, Jan Average, Malawi, MWI
240.831, 1932, Feb Average, Malawi, MWI
182.252, 1932, Mar Average, Malawi, MWI
85.6581, 1932, Apr Average, Malawi, MWI
38.0509, 1932, May Average, Malawi, MWI
10.164, 1932, Jun Average, Malawi, MWI
3.34946, 1932, Jul Average, Malawi, MWI
2.79077, 1932, Aug Average, Malawi, MWI
1.78395, 1932, Sep Average, Malawi, MWI
4.87185, 1932, Oct Average, Malawi, MWI
47.8716, 1932, Nov Average, Malawi, MWI
207.09, 1932, Dec Average, Malawi, MWI
194.718, 1933, Jan Average, Malawi, MWI
234.546, 1933, Feb Average, Malawi, MWI
151.019, 1933, Mar Average, Malawi, MWI
80.9311, 1933, Apr Average, Malawi, MWI
8.85403, 1933, May Average, Malawi, MWI
12.3407, 1933, Jun Average, Malawi, MWI
1.78799, 1933, Jul Average, Malawi, MWI
0.9414, 1933, Aug Average, Malawi, MWI
1.23293, 1933, Sep Average, Malawi, MWI
4.90906, 1933, Oct Average, Malawi, MWI
30.9229, 1933, Nov Average, Malawi, MWI
232.785, 1933, Dec Average, Malawi, MWI
215.187, 1934, Jan Average, Malawi, MWI
265.722, 1934, Feb Average, Malawi, MWI
243.912, 1934, Mar Average, Malawi, MWI
83.1125, 1934, Apr Average, Malawi, MWI
29.9913, 1934, May Average, Malawi, MWI
30.8935, 1934, Jun Average, Malawi, MWI
8.03352, 1934, Jul Average, Malawi, MWI
2.09191, 1934, Aug Average, Malawi, MWI
4.36875, 1934, Sep Average, Malawi, MWI
19.867, 1934, Oct Average, Malawi, MWI
112.638, 1934, Nov Average, Malawi, MWI
249.271, 1934, Dec Average, Malawi, MWI
229.07, 1935, Jan Average, Malawi, MWI
182.938, 1935, Feb Average, Malawi, MWI
167.129, 1935, Mar Average, Malawi, MWI
75.1479, 1935, Apr Average, Malawi, MWI
34.8618, 1935, May Average, Malawi, MWI
8.58229, 1935, Jun Average, Malawi, MWI
2.55737, 1935, Jul Average, Malawi, MWI
5.3537, 1935, Aug Average, Malawi, MWI
0.59391, 1935, Sep Average, Malawi, MWI
1.19096, 1935, Oct Average, Malawi, MWI
102.296, 1935, Nov Average, Malawi, MWI
152.297, 1935, Dec Average, Malawi, MWI
184.566, 1936, Jan Average, Malawi, MWI
272.557, 1936, Feb Average, Malawi, MWI
324.57, 1936, Mar Average, Malawi, MWI
98.6392, 1936, Apr Average, Malawi, MWI
29.9689, 1936, May Average, Malawi, MWI
18.8215, 1936, Jun Average, Malawi, MWI
10.1844, 1936, Jul Average, Malawi, MWI
3.07588, 1936, Aug Average, Malawi, MWI
3.34606, 1936, Sep Average, Malawi, MWI
13.0413, 1936, Oct Average, Malawi, MWI
54.7037, 1936, Nov Average, Malawi, MWI
192.766, 1936, Dec Average, Malawi, MWI
277.357, 1937, Jan Average, Malawi, MWI
218.026, 1937, Feb Average, Malawi, MWI
136.278, 1937, Mar Average, Malawi, MWI
97.4292, 1937, Apr Average, Malawi, MWI
29.2503, 1937, May Average, Malawi, MWI
2.38325, 1937, Jun Average, Malawi, MWI
14.5749, 1937, Jul Average, Malawi, MWI
10.2763, 1937, Aug Average, Malawi, MWI
2.60548, 1937, Sep Average, Malawi, MWI
9.50539, 1937, Oct Average, Malawi, MWI
55.5486, 1937, Nov Average, Malawi, MWI
167.226, 1937, Dec Average, Malawi, MWI
287.909, 1938, Jan Average, Malawi, MWI
136.96, 1938, Feb Average, Malawi, MWI
206.588, 1938, Mar Average, Malawi, MWI
115.973, 1938, Apr Average, Malawi, MWI
13.9512, 1938, May Average, Malawi, MWI
11.5756, 1938, Jun Average, Malawi, MWI
2.72815, 1938, Jul Average, Malawi, MWI
4.51502, 1938, Aug Average, Malawi, MWI
0.01997, 1938, Sep Average, Malawi, MWI
14.4011, 1938, Oct Average, Malawi, MWI
44.191, 1938, Nov Average, Malawi, MWI
195.847, 1938, Dec Average, Malawi, MWI
288.088, 1939, Jan Average, Malawi, MWI
152.943, 1939, Feb Average, Malawi, MWI
251.204, 1939, Mar Average, Malawi, MWI
91.3903, 1939, Apr Average, Malawi, MWI
26.799, 1939, May Average, Malawi, MWI
13.4389, 1939, Jun Average, Malawi, MWI
5.83468, 1939, Jul Average, Malawi, MWI
8.00052, 1939, Aug Average, Malawi, MWI
6.59965, 1939, Sep Average, Malawi, MWI
18.5021, 1939, Oct Average, Malawi, MWI
64.6835, 1939, Nov Average, Malawi, MWI
196.811, 1939, Dec Average, Malawi, MWI
262.024, 1940, Jan Average, Malawi, MWI
222.784, 1940, Feb Average, Malawi, MWI
271.027, 1940, Mar Average, Malawi, MWI
66.0192, 1940, Apr Average, Malawi, MWI
14.0063, 1940, May Average, Malawi, MWI
7.99428, 1940, Jun Average, Malawi, MWI
9.01325, 1940, Jul Average, Malawi, MWI
1.38024, 1940, Aug Average, Malawi, MWI
0.03782, 1940, Sep Average, Malawi, MWI
37.5322, 1940, Oct Average, Malawi, MWI
92.6524, 1940, Nov Average, Malawi, MWI
112.769, 1940, Dec Average, Malawi, MWI
285.344, 1941, Jan Average, Malawi, MWI
170.504, 1941, Feb Average, Malawi, MWI
202.334, 1941, Mar Average, Malawi, MWI
30.744, 1941, Apr Average, Malawi, MWI
11.7391, 1941, May Average, Malawi, MWI
3.98755, 1941, Jun Average, Malawi, MWI
2.68122, 1941, Jul Average, Malawi, MWI
3.40117, 1941, Aug Average, Malawi, MWI
4.16051, 1941, Sep Average, Malawi, MWI
11.2783, 1941, Oct Average, Malawi, MWI
127.14, 1941, Nov Average, Malawi, MWI
159.207, 1941, Dec Average, Malawi, MWI
199.955, 1942, Jan Average, Malawi, MWI
177.595, 1942, Feb Average, Malawi, MWI
188.673, 1942, Mar Average, Malawi, MWI
53.9461, 1942, Apr Average, Malawi, MWI
15.8894, 1942, May Average, Malawi, MWI
3.01439, 1942, Jun Average, Malawi, MWI
8.10165, 1942, Jul Average, Malawi, MWI
7.47863, 1942, Aug Average, Malawi, MWI
0.08977, 1942, Sep Average, Malawi, MWI
29.3513, 1942, Oct Average, Malawi, MWI
74.6596, 1942, Nov Average, Malawi, MWI
201.306, 1942, Dec Average, Malawi, MWI
260.214, 1943, Jan Average, Malawi, MWI
193.549, 1943, Feb Average, Malawi, MWI
150.788, 1943, Mar Average, Malawi, MWI
66.9399, 1943, Apr Average, Malawi, MWI
40.0738, 1943, May Average, Malawi, MWI
13.6829, 1943, Jun Average, Malawi, MWI
0.48575, 1943, Jul Average, Malawi, MWI
2.23539, 1943, Aug Average, Malawi, MWI
6.31984, 1943, Sep Average, Malawi, MWI
1.01346, 1943, Oct Average, Malawi, MWI
44.6585, 1943, Nov Average, Malawi, MWI
150.958, 1943, Dec Average, Malawi, MWI
168.444, 1944, Jan Average, Malawi, MWI
227.244, 1944, Feb Average, Malawi, MWI
272.239, 1944, Mar Average, Malawi, MWI
34.8555, 1944, Apr Average, Malawi, MWI
26.7645, 1944, May Average, Malawi, MWI
10.8808, 1944, Jun Average, Malawi, MWI
2.38465, 1944, Jul Average, Malawi, MWI
0.04622, 1944, Aug Average, Malawi, MWI
1.26975, 1944, Sep Average, Malawi, MWI
12.6713, 1944, Oct Average, Malawi, MWI
130.791, 1944, Nov Average, Malawi, MWI
235.083, 1944, Dec Average, Malawi, MWI
311.311, 1945, Jan Average, Malawi, MWI
275.66, 1945, Feb Average, Malawi, MWI
226.151, 1945, Mar Average, Malawi, MWI
89.4499, 1945, Apr Average, Malawi, MWI
35.0595, 1945, May Average, Malawi, MWI
8.02434, 1945, Jun Average, Malawi, MWI
5.85324, 1945, Jul Average, Malawi, MWI
2.23475, 1945, Aug Average, Malawi, MWI
0.34853, 1945, Sep Average, Malawi, MWI
3.61805, 1945, Oct Average, Malawi, MWI
54.7287, 1945, Nov Average, Malawi, MWI
173.006, 1945, Dec Average, Malawi, MWI
213.046, 1946, Jan Average, Malawi, MWI
185.383, 1946, Feb Average, Malawi, MWI
293.637, 1946, Mar Average, Malawi, MWI
90.042, 1946, Apr Average, Malawi, MWI
17.7243, 1946, May Average, Malawi, MWI
14.908, 1946, Jun Average, Malawi, MWI
4.70174, 1946, Jul Average, Malawi, MWI
7.84325, 1946, Aug Average, Malawi, MWI
2.11523, 1946, Sep Average, Malawi, MWI
0.44998, 1946, Oct Average, Malawi, MWI
151.956, 1946, Nov Average, Malawi, MWI
224.373, 1946, Dec Average, Malawi, MWI
253.171, 1947, Jan Average, Malawi, MWI
192.351, 1947, Feb Average, Malawi, MWI
291.704, 1947, Mar Average, Malawi, MWI
115.9, 1947, Apr Average, Malawi, MWI
40.3495, 1947, May Average, Malawi, MWI
6.17029, 1947, Jun Average, Malawi, MWI
6.54065, 1947, Jul Average, Malawi, MWI
0.82487, 1947, Aug Average, Malawi, MWI
6.18151, 1947, Sep Average, Malawi, MWI
18.5557, 1947, Oct Average, Malawi, MWI
64.3987, 1947, Nov Average, Malawi, MWI
207.153, 1947, Dec Average, Malawi, MWI
264.114, 1948, Jan Average, Malawi, MWI
308.151, 1948, Feb Average, Malawi, MWI
210.424, 1948, Mar Average, Malawi, MWI
137.952, 1948, Apr Average, Malawi, MWI
18.793, 1948, May Average, Malawi, MWI
6.51887, 1948, Jun Average, Malawi, MWI
7.54834, 1948, Jul Average, Malawi, MWI
5.27629, 1948, Aug Average, Malawi, MWI
4.64384, 1948, Sep Average, Malawi, MWI
13.2351, 1948, Oct Average, Malawi, MWI
74.1063, 1948, Nov Average, Malawi, MWI
100.233, 1948, Dec Average, Malawi, MWI
81.1168, 1949, Jan Average, Malawi, MWI
194.336, 1949, Feb Average, Malawi, MWI
169.117, 1949, Mar Average, Malawi, MWI
46.5869, 1949, Apr Average, Malawi, MWI
40.9107, 1949, May Average, Malawi, MWI
11.4404, 1949, Jun Average, Malawi, MWI
5.41246, 1949, Jul Average, Malawi, MWI
0.85421, 1949, Aug Average, Malawi, MWI
5.20444, 1949, Sep Average, Malawi, MWI
11.8207, 1949, Oct Average, Malawi, MWI
43.0295, 1949, Nov Average, Malawi, MWI
164.574, 1949, Dec Average, Malawi, MWI
365.345, 1950, Jan Average, Malawi, MWI
276.831, 1950, Feb Average, Malawi, MWI
253.079, 1950, Mar Average, Malawi, MWI
88.6283, 1950, Apr Average, Malawi, MWI
45.9512, 1950, May Average, Malawi, MWI
7.94979, 1950, Jun Average, Malawi, MWI
12.2627, 1950, Jul Average, Malawi, MWI
4.04745, 1950, Aug Average, Malawi, MWI
0.72223, 1950, Sep Average, Malawi, MWI
